t_start,duration,offset,t_local,state
1.0,54.0,0.0,1.0,ggggrrrrrrggggrrrrrrr
55.0,3.0,0.0,55.0,yyyyrrrrrrggggrrrrrrr
58.0,21.0,0.0,58.0,rrrrrrrrrrggggggrrrrr
79.0,3.0,0.0,79.0,rrrrrrrrrrgyyyyyrrrrr
82.0,25.0,0.0,82.0,rrrrrrgggggrrrrrggggg
107.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
110.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
132.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
135.0,55.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
190.0,3.0,0.0,55.0,yyyyrrrrrrggggrrrrrrr
193.0,21.0,0.0,58.0,rrrrrrrrrrggggggrrrrr
214.0,3.0,0.0,79.0,rrrrrrrrrrgyyyyyrrrrr
217.0,25.0,0.0,82.0,rrrrrrgggggrrrrrggggg
242.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
245.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
267.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
270.0,55.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
325.0,3.0,0.0,55.0,yyyyrrrrrrggggrrrrrrr
328.0,21.0,0.0,58.0,rrrrrrrrrrggggggrrrrr
349.0,3.0,0.0,79.0,rrrrrrrrrrgyyyyyrrrrr
352.0,25.0,0.0,82.0,rrrrrrgggggrrrrrggggg
377.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
380.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
402.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
405.0,55.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
460.0,3.0,0.0,55.0,yyyyrrrrrrggggrrrrrrr
463.0,21.0,0.0,58.0,rrrrrrrrrrggggggrrrrr
484.0,3.0,0.0,79.0,rrrrrrrrrrgyyyyyrrrrr
487.0,25.0,0.0,82.0,rrrrrrgggggrrrrrggggg
512.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
515.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
537.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
540.0,55.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
595.0,3.0,0.0,55.0,yyyyrrrrrrggggrrrrrrr
598.0,21.0,0.0,58.0,rrrrrrrrrrggggggrrrrr
619.0,3.0,0.0,79.0,rrrrrrrrrrgyyyyyrrrrr
622.0,25.0,0.0,82.0,rrrrrrgggggrrrrrggggg
647.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
650.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
672.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
675.0,55.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
730.0,3.0,0.0,55.0,yyyyrrrrrrggggrrrrrrr
733.0,21.0,0.0,58.0,rrrrrrrrrrggggggrrrrr
754.0,3.0,0.0,79.0,rrrrrrrrrrgyyyyyrrrrr
757.0,25.0,0.0,82.0,rrrrrrgggggrrrrrggggg
782.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
785.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
807.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
810.0,55.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
865.0,3.0,0.0,55.0,yyyyrrrrrrggggrrrrrrr
868.0,21.0,0.0,58.0,rrrrrrrrrrggggggrrrrr
889.0,3.0,0.0,79.0,rrrrrrrrrrgyyyyyrrrrr
892.0,25.0,0.0,82.0,rrrrrrgggggrrrrrggggg
917.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
920.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
942.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
945.0,55.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
1000.0,3.0,0.0,55.0,yyyyrrrrrrggggrrrrrrr
1003.0,21.0,0.0,58.0,rrrrrrrrrrggggggrrrrr
1024.0,3.0,0.0,79.0,rrrrrrrrrrgyyyyyrrrrr
1027.0,25.0,0.0,82.0,rrrrrrgggggrrrrrggggg
1052.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
1055.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
1077.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
1080.0,55.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
1135.0,3.0,0.0,55.0,yyyyrrrrrrggggrrrrrrr
1138.0,21.0,0.0,58.0,rrrrrrrrrrggggggrrrrr
1159.0,3.0,0.0,79.0,rrrrrrrrrrgyyyyyrrrrr
1162.0,25.0,0.0,82.0,rrrrrrgggggrrrrrggggg
1187.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
1190.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
1212.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
1215.0,55.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
1270.0,3.0,0.0,55.0,yyyyrrrrrrggggrrrrrrr
1273.0,21.0,0.0,58.0,rrrrrrrrrrggggggrrrrr
1294.0,3.0,0.0,79.0,rrrrrrrrrrgyyyyyrrrrr
1297.0,25.0,0.0,82.0,rrrrrrgggggrrrrrggggg
1322.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
1325.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
1347.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
1350.0,55.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
1405.0,3.0,0.0,55.0,yyyyrrrrrrggggrrrrrrr
1408.0,21.0,0.0,58.0,rrrrrrrrrrggggggrrrrr
1429.0,3.0,0.0,79.0,rrrrrrrrrrgyyyyyrrrrr
1432.0,25.0,0.0,82.0,rrrrrrgggggrrrrrggggg
1457.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
1460.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
1482.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
1485.0,55.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
1540.0,3.0,0.0,55.0,yyyyrrrrrrggggrrrrrrr
1543.0,21.0,0.0,58.0,rrrrrrrrrrggggggrrrrr
1564.0,3.0,0.0,79.0,rrrrrrrrrrgyyyyyrrrrr
1567.0,25.0,0.0,82.0,rrrrrrgggggrrrrrggggg
1592.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
1595.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
1617.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
1620.0,55.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
1675.0,3.0,0.0,55.0,yyyyrrrrrrggggrrrrrrr
1678.0,21.0,0.0,58.0,rrrrrrrrrrggggggrrrrr
1699.0,3.0,0.0,79.0,rrrrrrrrrrgyyyyyrrrrr
1702.0,25.0,0.0,82.0,rrrrrrgggggrrrrrggggg
1727.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
1730.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
1752.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
1755.0,55.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
1810.0,3.0,0.0,55.0,yyyyrrrrrrggggrrrrrrr
1813.0,21.0,0.0,58.0,rrrrrrrrrrggggggrrrrr
1834.0,3.0,0.0,79.0,rrrrrrrrrrgyyyyyrrrrr
1837.0,25.0,0.0,82.0,rrrrrrgggggrrrrrggggg
1862.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
1865.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
1887.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
1890.0,55.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
1945.0,3.0,0.0,55.0,yyyyrrrrrrggggrrrrrrr
1948.0,21.0,0.0,58.0,rrrrrrrrrrggggggrrrrr
1969.0,3.0,0.0,79.0,rrrrrrrrrrgyyyyyrrrrr
1972.0,25.0,0.0,82.0,rrrrrrgggggrrrrrggggg
1997.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
2000.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
2022.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
2025.0,55.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
2080.0,3.0,0.0,55.0,yyyyrrrrrrggggrrrrrrr
2083.0,21.0,0.0,58.0,rrrrrrrrrrggggggrrrrr
2104.0,3.0,0.0,79.0,rrrrrrrrrrgyyyyyrrrrr
2107.0,25.0,0.0,82.0,rrrrrrgggggrrrrrggggg
2132.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
2135.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
2157.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
2160.0,55.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
2215.0,3.0,0.0,55.0,yyyyrrrrrrggggrrrrrrr
2218.0,21.0,0.0,58.0,rrrrrrrrrrggggggrrrrr
2239.0,3.0,0.0,79.0,rrrrrrrrrrgyyyyyrrrrr
2242.0,25.0,0.0,82.0,rrrrrrgggggrrrrrggggg
2267.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
2270.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
2292.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
2295.0,55.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
2350.0,3.0,0.0,55.0,yyyyrrrrrrggggrrrrrrr
2353.0,21.0,0.0,58.0,rrrrrrrrrrggggggrrrrr
2374.0,3.0,0.0,79.0,rrrrrrrrrrgyyyyyrrrrr
2377.0,25.0,0.0,82.0,rrrrrrgggggrrrrrggggg
2402.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
2405.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
2427.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
2430.0,55.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
2485.0,3.0,0.0,55.0,yyyyrrrrrrggggrrrrrrr
2488.0,21.0,0.0,58.0,rrrrrrrrrrggggggrrrrr
2509.0,3.0,0.0,79.0,rrrrrrrrrrgyyyyyrrrrr
2512.0,25.0,0.0,82.0,rrrrrrgggggrrrrrggggg
2537.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
2540.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
2562.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
2565.0,55.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
2620.0,3.0,0.0,55.0,yyyyrrrrrrggggrrrrrrr
2623.0,21.0,0.0,58.0,rrrrrrrrrrggggggrrrrr
2644.0,3.0,0.0,79.0,rrrrrrrrrrgyyyyyrrrrr
2647.0,25.0,0.0,82.0,rrrrrrgggggrrrrrggggg
2672.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
2675.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
2697.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
2700.0,55.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
2755.0,3.0,0.0,55.0,yyyyrrrrrrggggrrrrrrr
2758.0,21.0,0.0,58.0,rrrrrrrrrrggggggrrrrr
2779.0,3.0,0.0,79.0,rrrrrrrrrrgyyyyyrrrrr
2782.0,25.0,0.0,82.0,rrrrrrgggggrrrrrggggg
2807.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
2810.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
2832.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
2835.0,55.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
2890.0,3.0,0.0,55.0,yyyyrrrrrrggggrrrrrrr
2893.0,21.0,0.0,58.0,rrrrrrrrrrggggggrrrrr
2914.0,3.0,0.0,79.0,rrrrrrrrrrgyyyyyrrrrr
2917.0,25.0,0.0,82.0,rrrrrrgggggrrrrrggggg
2942.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
2945.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
2967.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
2970.0,55.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
3025.0,3.0,0.0,55.0,yyyyrrrrrrggggrrrrrrr
3028.0,21.0,0.0,58.0,rrrrrrrrrrggggggrrrrr
3049.0,3.0,0.0,79.0,rrrrrrrrrrgyyyyyrrrrr
3052.0,25.0,0.0,82.0,rrrrrrgggggrrrrrggggg
3077.0,3.0,0.0,107.0,rrrrrrggyygrrrrryyyyy
3080.0,22.0,0.0,110.0,ggggggggrrgrrrrrrrrrr
3102.0,3.0,0.0,132.0,ggggyyyyrrgrrrrrrrrrr
3105.0,55.0,0.0,0.0,ggggrrrrrrggggrrrrrrr
3160.0,3.0,0.0,55.0,yyyyrrrrrrggggrrrrrrr
3163.0,21.0,0.0,58.0,rrrrrrrrrrggggggrrrrr
3184.0,3.0,0.0,79.0,rrrrrrrrrrgyyyyyrrrrr
3187.0,25.0,0.0,82.0,rrrrrrgggggrrrrrggggg
